t,p_t_x,p_t_y,h_t,v_t,e_t,|A_t|,|M_t|,Pi
350,2.44,-106.59,5.28,2.00,0.9941,19,0,None
351,2.44,-106.59,5.28,2.00,0.9941,19,0,None
352,2.44,-106.59,5.28,2.00,0.9941,19,0,None
353,2.39,-106.46,5.27,2.00,0.9940,19,0,None
354,2.39,-106.46,5.27,2.00,0.9940,19,0,None
355,2.39,-106.46,5.27,2.00,0.9940,19,0,None
356,2.34,-106.33,5.27,2.00,0.9940,19,0,None
357,2.34,-106.33,5.27,2.00,0.9940,19,0,None
358,2.34,-106.33,5.27,2.00,0.9940,19,0,None
359,2.34,-106.33,5.27,2.00,0.9940,19,0,None
360,2.28,-106.21,5.27,2.00,0.9939,19,0,None
361,2.28,-106.21,5.27,2.00,0.9939,19,0,None
362,2.28,-106.21,5.27,2.00,0.9939,19,0,None
363,2.23,-106.08,5.27,2.00,0.9939,19,0,None
364,2.23,-106.08,5.27,2.00,0.9939,19,0,None
365,2.23,-106.08,5.27,2.00,0.9939,19,0,None
366,2.23,-106.08,5.27,2.00,0.9939,19,0,None
367,2.23,-106.08,5.27,2.00,0.9939,19,0,None
368,2.16,-105.90,5.27,2.00,0.9938,19,0,None
369,2.16,-105.90,5.27,2.00,0.9938,19,0,None
370,2.13,-105.82,5.27,2.00,0.9938,19,0,None
371,2.13,-105.82,5.27,2.00,0.9938,19,0,None
372,2.10,-105.76,5.27,2.00,0.9938,19,0,None
373,2.10,-105.76,5.27,2.00,0.9938,19,0,None
374,2.10,-105.76,5.27,2.00,0.9938,19,0,None
375,2.10,-105.76,5.27,2.00,0.9938,19,0,None
376,2.10,-105.76,5.27,2.00,0.9938,19,0,None
377,2.02,-105.56,5.27,2.00,0.9937,19,0,None
378,2.02,-105.56,5.27,2.00,0.9937,19,0,None
379,2.02,-105.56,5.27,2.00,0.9937,19,0,None
380,2.02,-105.56,5.27,2.00,0.9937,19,0,None
381,2.02,-105.56,5.27,2.00,0.9937,19,0,None
382,1.95,-105.39,5.26,2.00,0.9937,19,0,None
383,1.95,-105.39,5.26,2.00,0.9937,19,0,None
384,1.95,-105.39,5.26,2.00,0.9937,19,0,None
385,1.90,-105.26,5.26,2.00,0.9937,19,0,None
386,1.90,-105.26,5.26,2.00,0.9937,19,0,None
387,1.90,-105.26,5.26,2.00,0.9937,19,0,None
388,1.90,-105.26,5.26,2.00,0.9937,19,0,None
389,1.85,-105.13,5.26,2.00,0.9936,19,0,None
390,1.85,-105.13,5.26,2.00,0.9936,19,0,None
391,1.82,-105.05,5.26,2.00,0.9936,19,0,None
392,1.82,-105.05,5.26,2.00,0.9936,19,0,None
393,1.82,-105.05,5.26,2.00,0.9936,19,0,None
394,1.76,-104.92,5.26,2.00,0.9936,19,0,None
395,1.76,-104.92,5.26,2.00,0.9936,19,0,None
396,1.76,-104.92,5.26,2.00,0.9936,19,0,None
397,1.76,-104.92,5.26,2.00,0.9936,19,0,None
398,1.76,-104.92,5.26,2.00,0.9936,19,0,None
399,1.69,-104.74,5.26,2.00,0.9935,19,0,None
400,1.69,-104.74,5.26,2.00,0.9935,19,0,None
401,1.69,-104.74,5.26,2.00,0.9935,19,0,None
402,1.69,-104.74,5.26,2.00,0.9935,19,0,None
403,1.64,-104.61,5.26,2.00,0.9935,19,0,None
404,1.64,-104.61,5.26,2.00,0.9935,19,0,None
405,1.61,-104.53,5.26,2.00,0.9934,19,0,None
406,1.61,-104.53,5.26,2.00,0.9934,19,0,None
407,1.61,-104.53,5.26,2.00,0.9934,19,0,None
408,1.56,-104.41,5.26,2.00,0.9934,19,0,None
409,1.56,-104.41,5.26,2.00,0.9934,19,0,None
410,1.56,-104.41,5.26,2.00,0.9934,19,0,None
411,1.56,-104.41,5.26,2.00,0.9934,19,0,None
412,1.56,-104.41,5.26,2.00,0.9934,19,0,None
413,1.48,-104.23,5.26,2.00,0.9933,19,0,None
414,1.48,-104.23,5.26,2.00,0.9933,19,0,None
415,1.48,-104.23,5.26,2.00,0.9933,19,0,None
416,1.48,-104.23,5.26,2.00,0.9933,19,0,None
417,1.43,-104.10,5.26,2.00,0.9933,19,0,None
418,1.43,-104.10,5.26,2.00,0.9933,19,0,None
419,1.43,-104.10,5.26,2.00,0.9933,19,0,None
420,1.38,-103.97,5.26,2.00,0.9933,19,0,None
421,1.38,-103.97,5.26,2.00,0.9933,19,0,None
422,1.35,-103.89,5.26,2.00,0.9932,19,0,None
423,1.35,-103.89,5.26,2.00,0.9932,19,0,None
424,1.32,-103.82,5.27,2.00,0.9932,19,0,None
425,1.32,-103.82,5.27,2.00,0.9932,19,0,None
426,1.32,-103.82,5.27,2.00,0.9932,19,0,None
427,1.27,-103.71,5.27,2.00,0.9932,19,0,None
428,1.27,-103.71,5.27,2.00,0.9932,19,0,None
429,1.27,-103.71,5.27,2.00,0.9932,19,0,None
430,1.27,-103.71,5.27,2.00,0.9932,19,0,None
431,1.27,-103.71,5.27,2.00,0.9932,19,0,None
432,1.27,-103.71,5.27,2.00,0.9932,19,0,None
433,1.19,-103.49,5.27,2.00,0.9931,19,0,None
434,1.19,-103.49,5.27,2.00,0.9931,19,0,None
435,1.19,-103.49,5.27,2.00,0.9931,19,0,None
436,1.19,-103.49,5.27,2.00,0.9931,19,0,None
437,1.12,-103.32,5.28,2.00,0.9931,19,0,None
438,1.12,-103.32,5.28,2.00,0.9931,19,0,None
439,1.12,-103.32,5.28,2.00,0.9931,19,0,None
440,1.12,-103.32,5.28,2.00,0.9931,19,0,None
441,1.06,-103.19,5.28,2.00,0.9930,19,0,None
442,1.06,-103.19,5.28,2.00,0.9930,19,0,None
443,1.03,-103.11,5.28,2.00,0.9930,19,0,None
444,1.03,-103.11,5.28,2.00,0.9930,19,0,None
445,1.01,-103.05,5.28,2.00,0.9930,19,0,None
446,1.01,-103.05,5.28,2.00,0.9930,19,0,None
447,1.01,-103.05,5.28,2.00,0.9930,19,0,None
448,0.96,-102.93,5.28,2.00,0.9930,19,0,None
449,0.96,-102.93,5.28,2.00,0.9930,19,0,None
450,0.96,-102.93,5.28,2.00,0.9930,19,0,None
451,0.96,-102.93,5.28,2.00,0.9930,19,0,None
452,0.96,-102.93,5.28,2.00,0.9930,19,0,None
453,0.96,-102.93,5.28,2.00,0.9930,19,0,None
454,0.88,-102.72,5.28,2.00,0.9929,19,0,None
455,0.88,-102.72,5.28,2.00,0.9929,19,0,None
456,0.88,-102.72,5.28,2.00,0.9929,19,0,None
457,0.82,-102.59,5.28,2.00,0.9929,19,0,None
458,0.82,-102.59,5.28,2.00,0.9929,19,0,None
